well_id,depth_tvd,gamma_ray,resistivity,sonic,density,formation
OIL-BAGHJAN-1,1400,75.32488895141476,0.66,110.2,2.4,Tipam
OIL-BAGHJAN-1,1410,81.15239840565022,0.658,110.0,2.4019999999999997,Tipam
OIL-BAGHJAN-1,1420,86.68897910975271,0.656,109.8,2.404,Tipam
OIL-BAGHJAN-1,1430,92.17152311045737,0.654,109.60000000000001,2.4059999999999997,Tipam
OIL-BAGHJAN-1,1440,93.52198682148087,0.652,109.4,2.408,Tipam
OIL-BAGHJAN-1,1450,94.48211154036838,0.65,109.2,2.4099999999999997,Tipam
OIL-BAGHJAN-1,1460,98.01354709218623,0.648,109.0,2.412,Tipam
OIL-BAGHJAN-1,1470,102.40234029609337,0.646,108.8,2.4139999999999997,Tipam
OIL-BAGHJAN-1,1480,104.07299164511849,0.644,108.60000000000001,2.416,Tipam
OIL-BAGHJAN-1,1490,100.13353071085953,0.642,108.4,2.4179999999999997,Tipam
OIL-BAGHJAN-1,1500,95.50449873144922,0.64,108.2,2.42,Barail
OIL-BAGHJAN-1,1510,97.60236794606037,0.638,108.0,2.4219999999999997,Barail
OIL-BAGHJAN-1,1520,96.1387639675934,0.636,107.8,2.424,Barail
OIL-BAGHJAN-1,1530,94.52735029695893,0.634,107.60000000000001,2.4259999999999997,Barail
OIL-BAGHJAN-1,1540,90.13704027182827,0.632,107.4,2.428,Barail
OIL-BAGHJAN-1,1550,86.0356223518443,0.63,107.2,2.4299999999999997,Barail
OIL-BAGHJAN-1,1560,85.74024709366539,0.628,107.0,2.432,Barail
OIL-BAGHJAN-1,1570,83.9264146702401,0.626,106.8,2.4339999999999997,Barail
OIL-BAGHJAN-1,1580,83.77554555241676,0.624,106.60000000000001,2.436,Barail
OIL-BAGHJAN-1,1590,88.48497624545382,0.622,106.4,2.4379999999999997,Barail
OIL-BAGHJAN-1,1600,83.84492136473601,0.62,106.2,2.44,Barail
OIL-BAGHJAN-1,1610,87.64154200491102,0.618,106.0,2.4419999999999997,Barail
OIL-BAGHJAN-1,1620,87.37128856613097,0.616,105.8,2.444,Barail
OIL-BAGHJAN-1,1630,91.12056527296757,0.614,105.60000000000001,2.4459999999999997,Barail
OIL-BAGHJAN-1,1640,95.88857144514918,0.612,105.4,2.448,Barail
OIL-BAGHJAN-1,1650,96.59926774276202,0.61,105.2,2.4499999999999997,Barail
OIL-BAGHJAN-1,1660,104.97441417362457,0.608,105.0,2.452,Barail
OIL-BAGHJAN-1,1670,106.5852439650207,0.606,104.8,2.4539999999999997,Barail
OIL-BAGHJAN-1,1680,108.41230152194454,0.604,104.60000000000001,2.456,Barail
OIL-BAGHJAN-1,1690,108.28465234591012,0.602,104.4,2.4579999999999997,Barail
OIL-BAGHJAN-1,1700,110.40418203528122,0.6000000000000001,104.2,2.46,Barail
OIL-BAGHJAN-1,1710,110.21415676977556,0.5980000000000001,104.0,2.4619999999999997,Barail
OIL-BAGHJAN-1,1720,110.53931800929294,0.5960000000000001,103.8,2.464,Barail
OIL-BAGHJAN-1,1730,110.78064401633748,0.5940000000000001,103.60000000000001,2.4659999999999997,Barail
OIL-BAGHJAN-1,1740,109.89532603143152,0.5920000000000001,103.4,2.468,Barail
OIL-BAGHJAN-1,1750,101.26494378554932,0.5900000000000001,103.2,2.4699999999999998,Barail
OIL-BAGHJAN-1,1760,94.0869642202176,0.5880000000000001,103.0,2.472,Barail
OIL-BAGHJAN-1,1770,90.08279872494892,0.5860000000000001,102.8,2.4739999999999998,Barail
OIL-BAGHJAN-1,1780,93.758813450331,0.5840000000000001,102.60000000000001,2.476,Barail
OIL-BAGHJAN-1,1790,82.41235764249187,0.5820000000000001,102.4,2.4779999999999998,Barail
OIL-BAGHJAN-1,1800,79.06576960236553,0.5800000000000001,102.2,2.48,Barail
OIL-BAGHJAN-1,1810,73.01695345196605,0.5780000000000001,102.0,2.4819999999999998,Barail
OIL-BAGHJAN-1,1820,70.91966652201602,0.5760000000000001,101.8,2.484,Barail
OIL-BAGHJAN-1,1830,66.34011765297774,0.5740000000000001,101.60000000000001,2.4859999999999998,Barail
